Spectra,Frequency (Hz),Photometry (Jy),Uncertainty (Jy)
TGSS_corr,150e6,1.2582866859854933,0.051914794200498625
NVSS_corr,1.4e9,0.2337737382832515,0.004294603063879445
J01445_C_bl0,4.486987116382e9,0.06886147699482296,0.0009559851259494787
J01445_C_bl1,5.510978428905e9,0.05776958578435557,0.0007366702309634758
J01445_C_bl2,6.486970148654e9,0.04831750475429963,0.0007721681689372235
J01445_C_bl3,7.510961461177e9,0.038872512411101165,0.0012715181272812553
j01445_X_bl0,8.486933765689e09,0.03266704550303314,0.002801117175754206
J01445_X_bl1,9.510921881132e09,0.030190509529344753,0.0009422162081559598
J01445_X_bl2,1.048691055366e10,0.026998904256760346,0.0008124318198153098
J01445_X_bl3,1.151089866911e10,0.022778283031752986,0.00022814032620122255
