Spectra,Frequency (Hz),Photometry (Jy),Uncertainty (Jy)
TGSS_corr,150e6,2.5165733719709866,0.07341860604615326
NVSS_corr,1.4e9,0.467547476566503,0.006073485897947359
J01445_C_bl0,4.486987116382e9,0.13897963592398363,0.0020187994837050963
J01445_C_bl1,5.510978428905e9,0.11769140919926764,0.0010140216066311196
J01445_C_bl2,6.486970148654e9,0.09722267038824026,0.001276423287434027
J01445_C_bl3,7.510961461177e9,0.07961900012950898,0.001468481051577425
j01445_X_bl0,8.486933765689e09,0.06921554125000287,0.0028677889837167726
J01445_X_bl1,9.510921881132e09,0.06327284790938616,0.0011233603255796675
J01445_X_bl2,1.048691055366e10,0.05531877968036954,0.0009324248484233775
J01445_X_bl3,1.151089866911e10,0.04903026221010609,0.0007952569107316588
GLEAMX,76000000.0,4.619008541107178,0.0949386432766914
GLEAMX,84000000.0,4.343886852264404,0.0895615145564079
GLEAMX,92000000.0,4.009426593780518,0.0819416791200637
GLEAMX,99000000.0,3.818183660507202,0.0781794488430023
GLEAMX,107000000.0,3.5998167991638184,0.0736009925603866
GLEAMX,115000000.0,3.3730037212371826,0.0688287541270256
GLEAMX,122000000.0,3.152127265930176,0.064545564353466
GLEAMX,130000000.0,3.062330484390259,0.0624936148524284
GLEAMX,143000000.0,2.678871393203736,0.0543963052332401
GLEAMX,151000000.0,2.6584603786468506,0.0538658164441585
GLEAMX,158000000.0,2.472740650177002,0.0500533655285835
GLEAMX,166000000.0,2.3364179134368896,0.0473720505833625
GLEAMX,174000000.0,2.1934282779693604,0.0445585995912551
GLEAMX,181000000.0,2.136880159378052,0.0435530245304107
GLEAMX,189000000.0,2.022282123565674,0.0412589535117149
GLEAMX,197000000.0,1.9445340633392332,0.0398846119642257
GLEAMX,204000000.0,1.8419132232666016,0.0379549749195575
GLEAMX,212000000.0,1.7848705053329468,0.0368907898664474
GLEAMX,220000000.0,1.643007516860962,0.0342432111501693
GLEAMX,227000000.0,1.5945814847946167,0.0336480811238288
